"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
OCT-18,20000,C,0,0,0,0,0
OCT-18,20200,C,0,0,0,0,0
OCT-18,20400,C,0,0,0,0,0
OCT-18,20600,C,0,0,0,0,0
OCT-18,20800,C,0,0,0,0,0
OCT-18,21000,C,0,0,0,0,0
OCT-18,21200,C,0,0,0,0,0
OCT-18,21400,C,0,0,0,0,0
OCT-18,21600,C,0,0,0,0,0
OCT-18,21800,C,0,0,0,0,0
OCT-18,22000,C,0,0,0,0,0
OCT-18,22200,C,0,0,0,0,0
OCT-18,22400,C,0,0,0,0,0
OCT-18,22600,C,0,0,0,0,0
OCT-18,22800,C,0,0,0,0,0
OCT-18,23000,C,0,0,0,0,0
OCT-18,23200,C,0,0,0,0,0
OCT-18,23400,C,0,0,0,0,0
OCT-18,23600,C,0,0,0,0,0
OCT-18,23800,C,0,0,0,0,0
OCT-18,24000,C,0,0,0,0,0
OCT-18,24200,C,675,825,675,737,4
OCT-18,24400,C,421,610,421,590,23
OCT-18,24600,C,245,450,179,200,94
OCT-18,24800,C,116,270,58,72,565
OCT-18,25000,C,40,132,26,37,954
OCT-18,25200,C,19,43,9,13,607
OCT-18,25400,C,7,12,3,5,290
OCT-18,25600,C,3,7,1,3,75
OCT-18,25800,C,2,4,1,1,87
OCT-18,26000,C,2,2,1,1,23
OCT-18,26200,C,1,1,1,1,3
OCT-18,26400,C,1,2,1,1,13
OCT-18,26600,C,1,1,1,1,6
OCT-18,26800,C,1,1,1,1,14
OCT-18,27000,C,1,1,1,1,1
OCT-18,27200,C,1,1,1,1,1
OCT-18,27400,C,0,0,0,0,0
OCT-18,27600,C,0,0,0,0,0
OCT-18,27800,C,0,0,0,0,0
OCT-18,28000,C,0,0,0,0,0
OCT-18,28200,C,0,0,0,0,0
OCT-18,28400,C,0,0,0,0,0
OCT-18,28600,C,0,0,0,0,0
OCT-18,28800,C,0,0,0,0,0
OCT-18,29000,C,0,0,0,0,0
OCT-18,29200,C,0,0,0,0,0
OCT-18,29400,C,0,0,0,0,0
OCT-18,29600,C,0,0,0,0,0
OCT-18,29800,C,0,0,0,0,0
OCT-18,30000,C,0,0,0,0,0
OCT-18,30200,C,0,0,0,0,0
OCT-18,30400,C,0,0,0,0,0
OCT-18,30600,C,0,0,0,0,0
OCT-18,30800,C,0,0,0,0,0
OCT-18,31000,C,0,0,0,0,0
OCT-18,31200,C,0,0,0,0,0
OCT-18,31400,C,0,0,0,0,0
OCT-18,31600,C,0,0,0,0,0
OCT-18,31800,C,0,0,0,0,0
OCT-18,32000,C,0,0,0,0,0
OCT-18,32200,C,0,0,0,0,0
OCT-18,32400,C,0,0,0,0,0
OCT-18,32600,C,0,0,0,0,0
OCT-18,32800,C,0,0,0,0,0
OCT-18,33000,C,0,0,0,0,0
OCT-18,33200,C,0,0,0,0,0
OCT-18,33400,C,0,0,0,0,0
OCT-18,33600,C,0,0,0,0,0
OCT-18,33800,C,0,0,0,0,0
OCT-18,34000,C,0,0,0,0,0
OCT-18,34200,C,0,0,0,0,0
OCT-18,34400,C,0,0,0,0,0
OCT-18,34600,C,0,0,0,0,0
OCT-18,34800,C,0,0,0,0,0

,,,,,"TOTAL CALL",,2760

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
OCT-18,20000,P,0,0,0,0,0
OCT-18,20200,P,0,0,0,0,0
OCT-18,20400,P,0,0,0,0,0
OCT-18,20600,P,0,0,0,0,0
OCT-18,20800,P,0,0,0,0,0
OCT-18,21000,P,0,0,0,0,0
OCT-18,21200,P,0,0,0,0,0
OCT-18,21400,P,0,0,0,0,0
OCT-18,21600,P,0,0,0,0,0
OCT-18,21800,P,0,0,0,0,0
OCT-18,22000,P,0,0,0,0,0
OCT-18,22200,P,0,0,0,0,0
OCT-18,22400,P,1,1,1,1,4
OCT-18,22600,P,2,2,2,2,1
OCT-18,22800,P,0,0,0,0,0
OCT-18,23000,P,1,1,1,1,7
OCT-18,23200,P,1,1,1,1,37
OCT-18,23400,P,2,2,1,2,23
OCT-18,23600,P,2,3,1,1,17
OCT-18,23800,P,2,2,1,1,8
OCT-18,24000,P,4,4,2,2,32
OCT-18,24200,P,8,8,2,3,178
OCT-18,24400,P,20,20,6,6,305
OCT-18,24600,P,47,47,13,27,685
OCT-18,24800,P,116,118,36,80,1016
OCT-18,25000,P,209,252,93,250,318
OCT-18,25200,P,289,440,215,440,128
OCT-18,25400,P,500,624,383,624,41
OCT-18,25600,P,0,0,0,0,0
OCT-18,25800,P,785,860,785,860,7
OCT-18,26000,P,1200,1200,1200,1200,4
OCT-18,26200,P,1200,1200,1200,1200,1
OCT-18,26400,P,0,0,0,0,0
OCT-18,26600,P,0,0,0,0,0
OCT-18,26800,P,1830,1830,1830,1830,1
OCT-18,27000,P,0,0,0,0,0
OCT-18,27200,P,0,0,0,0,0
OCT-18,27400,P,0,0,0,0,0
OCT-18,27600,P,0,0,0,0,0
OCT-18,27800,P,0,0,0,0,0
OCT-18,28000,P,0,0,0,0,0
OCT-18,28200,P,0,0,0,0,0
OCT-18,28400,P,0,0,0,0,0
OCT-18,28600,P,0,0,0,0,0
OCT-18,28800,P,0,0,0,0,0
OCT-18,29000,P,0,0,0,0,0
OCT-18,29200,P,0,0,0,0,0
OCT-18,29400,P,0,0,0,0,0
OCT-18,29600,P,0,0,0,0,0
OCT-18,29800,P,0,0,0,0,0
OCT-18,30000,P,0,0,0,0,0
OCT-18,30200,P,0,0,0,0,0
OCT-18,30400,P,0,0,0,0,0
OCT-18,30600,P,0,0,0,0,0
OCT-18,30800,P,0,0,0,0,0
OCT-18,31000,P,0,0,0,0,0
OCT-18,31200,P,0,0,0,0,0
OCT-18,31400,P,0,0,0,0,0
OCT-18,31600,P,0,0,0,0,0
OCT-18,31800,P,0,0,0,0,0
OCT-18,32000,P,0,0,0,0,0
OCT-18,32200,P,0,0,0,0,0
OCT-18,32400,P,0,0,0,0,0
OCT-18,32600,P,0,0,0,0,0
