"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
OCT-18,20000,C,0,0,0,0,0
OCT-18,20200,C,0,0,0,0,0
OCT-18,20400,C,0,0,0,0,0
OCT-18,20600,C,0,0,0,0,0
OCT-18,20800,C,0,0,0,0,0
OCT-18,21000,C,0,0,0,0,0
OCT-18,21200,C,0,0,0,0,0
OCT-18,21400,C,0,0,0,0,0
OCT-18,21600,C,0,0,0,0,0
OCT-18,21800,C,0,0,0,0,0
OCT-18,22000,C,0,0,0,0,0
OCT-18,22200,C,0,0,0,0,0
OCT-18,22400,C,0,0,0,0,0
OCT-18,22600,C,0,0,0,0,0
OCT-18,22800,C,0,0,0,0,0
OCT-18,23000,C,0,0,0,0,0
OCT-18,23200,C,0,0,0,0,0
OCT-18,23400,C,0,0,0,0,0
OCT-18,23600,C,0,0,0,0,0
OCT-18,23800,C,0,0,0,0,0
OCT-18,24000,C,0,0,0,0,0
OCT-18,24200,C,0,0,0,0,0
OCT-18,24400,C,0,0,0,0,0
OCT-18,24600,C,0,0,0,0,0
OCT-18,24800,C,0,0,0,0,0
OCT-18,25000,C,780,780,680,695,11
OCT-18,25200,C,580,636,503,503,33
OCT-18,25400,C,431,515,392,407,75
OCT-18,25600,C,318,398,286,300,264
OCT-18,25800,C,244,293,212,219,266
OCT-18,26000,C,170,217,147,163,378
OCT-18,26200,C,118,150,100,118,274
OCT-18,26400,C,79,104,68,80,266
OCT-18,26600,C,57,70,45,48,149
OCT-18,26800,C,36,46,30,32,106
OCT-18,27000,C,24,31,21,23,61
OCT-18,27200,C,22,22,15,15,11
OCT-18,27400,C,14,14,11,11,24
OCT-18,27600,C,10,10,10,10,9
OCT-18,27800,C,6,8,6,8,12
OCT-18,28000,C,5,5,5,5,5
OCT-18,28200,C,5,5,5,5,1
OCT-18,28400,C,4,4,3,3,16
OCT-18,28600,C,3,4,3,3,6
OCT-18,28800,C,3,3,2,2,10
OCT-18,29000,C,0,0,0,0,0
OCT-18,29200,C,0,0,0,0,0
OCT-18,29400,C,0,0,0,0,0
OCT-18,29600,C,2,2,2,2,1
OCT-18,29800,C,0,0,0,0,0
OCT-18,30000,C,0,0,0,0,0
OCT-18,30200,C,1,1,1,1,6
OCT-18,30400,C,1,1,1,1,1
OCT-18,30600,C,0,0,0,0,0
OCT-18,30800,C,0,0,0,0,0
OCT-18,31000,C,0,0,0,0,0
OCT-18,31200,C,0,0,0,0,0
OCT-18,31400,C,0,0,0,0,0
OCT-18,31600,C,0,0,0,0,0
OCT-18,31800,C,0,0,0,0,0
OCT-18,32000,C,0,0,0,0,0
OCT-18,32200,C,0,0,0,0,0
OCT-18,32400,C,0,0,0,0,0
OCT-18,32600,C,0,0,0,0,0
OCT-18,32800,C,0,0,0,0,0
OCT-18,33000,C,0,0,0,0,0
OCT-18,33200,C,0,0,0,0,0
OCT-18,33400,C,0,0,0,0,0
OCT-18,33600,C,0,0,0,0,0
OCT-18,33800,C,0,0,0,0,0
OCT-18,34000,C,0,0,0,0,0
OCT-18,34200,C,0,0,0,0,0
OCT-18,34400,C,0,0,0,0,0
OCT-18,34600,C,0,0,0,0,0
OCT-18,34800,C,0,0,0,0,0

,,,,,"TOTAL CALL",,1985

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
OCT-18,20000,P,0,0,0,0,0
OCT-18,20200,P,0,0,0,0,0
OCT-18,20400,P,0,0,0,0,0
OCT-18,20600,P,0,0,0,0,0
OCT-18,20800,P,0,0,0,0,0
OCT-18,21000,P,0,0,0,0,0
OCT-18,21200,P,0,0,0,0,0
OCT-18,21400,P,3,3,3,3,1
OCT-18,21600,P,3,3,3,3,1
OCT-18,21800,P,0,0,0,0,0
OCT-18,22000,P,5,5,5,5,3
OCT-18,22200,P,0,0,0,0,0
OCT-18,22400,P,7,9,7,9,2
OCT-18,22600,P,7,8,7,8,16
OCT-18,22800,P,12,12,12,12,6
OCT-18,23000,P,12,13,12,13,4
OCT-18,23200,P,18,20,14,20,17
OCT-18,23400,P,23,26,19,26,33
OCT-18,23600,P,31,34,24,31,80
OCT-18,23800,P,41,49,30,42,76
OCT-18,24000,P,50,63,40,60,159
OCT-18,24200,P,68,78,52,78,168
OCT-18,24400,P,92,112,70,99,192
OCT-18,24600,P,122,137,93,115,164
OCT-18,24800,P,161,190,125,170,229
OCT-18,25000,P,216,240,165,204,495
OCT-18,25200,P,270,310,217,288,278
OCT-18,25400,P,343,391,284,364,181
OCT-18,25600,P,438,500,361,500,151
OCT-18,25800,P,565,576,465,564,128
OCT-18,26000,P,670,745,600,745,48
OCT-18,26200,P,776,776,752,752,2
OCT-18,26400,P,957,1060,957,1060,3
OCT-18,26600,P,0,0,0,0,0
OCT-18,26800,P,0,0,0,0,0
OCT-18,27000,P,1404,1404,1404,1404,1
OCT-18,27200,P,0,0,0,0,0
OCT-18,27400,P,1886,1886,1886,1886,1
OCT-18,27600,P,0,0,0,0,0
OCT-18,27800,P,0,0,0,0,0
OCT-18,28000,P,0,0,0,0,0
OCT-18,28200,P,0,0,0,0,0
OCT-18,28400,P,0,0,0,0,0
OCT-18,28600,P,0,0,0,0,0
OCT-18,28800,P,0,0,0,0,0
OCT-18,29000,P,0,0,0,0,0
OCT-18,29200,P,3624,3624,3624,3624,1
OCT-18,29400,P,0,0,0,0,0
OCT-18,29600,P,0,0,0,0,0
OCT-18,29800,P,0,0,0,0,0
OCT-18,30000,P,0,0,0,0,0
OCT-18,30200,P,0,0,0,0,0
OCT-18,30400,P,0,0,0,0,0
OCT-18,30600,P,0,0,0,0,0
OCT-18,30800,P,0,0,0,0,0
OCT-18,31000,P,0,0,0,0,0
OCT-18,31200,P,0,0,0,0,0
OCT-18,31400,P,0,0,0,0,0
OCT-18,31600,P,0,0,0,0,0
OCT-18,31800,P,0,0,0,0,0
OCT-18,32000,P,0,0,0,0,0
OCT-18,32200,P,0,0,0,0,0
OCT-18,32400,P,0,0,0,0,0
OCT-18,32600,P,0,0,0,0,0
