"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
NOV-18,19600,C,0,0,0,0,0
NOV-18,19700,C,0,0,0,0,0
NOV-18,19800,C,0,0,0,0,0
NOV-18,19900,C,0,0,0,0,0
NOV-18,20000,C,0,0,0,0,0
NOV-18,20200,C,0,0,0,0,0
NOV-18,20400,C,0,0,0,0,0
NOV-18,20600,C,0,0,0,0,0
NOV-18,20800,C,0,0,0,0,0
NOV-18,21000,C,0,0,0,0,0
NOV-18,21200,C,0,0,0,0,0
NOV-18,21400,C,0,0,0,0,0
NOV-18,21600,C,0,0,0,0,0
NOV-18,21800,C,0,0,0,0,0
NOV-18,22000,C,0,0,0,0,0
NOV-18,22200,C,0,0,0,0,0
NOV-18,22400,C,0,0,0,0,0
NOV-18,22600,C,0,0,0,0,0
NOV-18,22800,C,0,0,0,0,0
NOV-18,23000,C,0,0,0,0,0
NOV-18,23200,C,0,0,0,0,0
NOV-18,23400,C,0,0,0,0,0
NOV-18,23600,C,0,0,0,0,0
NOV-18,23800,C,0,0,0,0,0
NOV-18,24000,C,1666,1666,1648,1648,4
NOV-18,24200,C,0,0,0,0,0
NOV-18,24400,C,0,0,0,0,0
NOV-18,24600,C,0,0,0,0,0
NOV-18,24800,C,1033,1268,1033,1268,5
NOV-18,25000,C,850,1115,850,1115,37
NOV-18,25200,C,756,973,720,973,47
NOV-18,25400,C,624,865,624,865,126
NOV-18,25600,C,526,799,520,730,126
NOV-18,25800,C,437,660,432,660,153
NOV-18,26000,C,366,564,356,564,973
NOV-18,26200,C,298,480,290,478,194
NOV-18,26400,C,243,382,238,368,163
NOV-18,26600,C,211,320,189,320,242
NOV-18,26800,C,159,270,157,270,126
NOV-18,27000,C,124,214,124,214,215
NOV-18,27200,C,101,183,98,180,274
NOV-18,27400,C,91,138,77,138,109
NOV-18,27600,C,60,110,60,110,193
NOV-18,27800,C,48,87,48,87,89
NOV-18,28000,C,38,70,37,70,114
NOV-18,28200,C,26,53,26,51,26
NOV-18,28400,C,22,42,21,42,38
NOV-18,28600,C,17,33,17,33,91
NOV-18,28800,C,14,24,14,24,18
NOV-18,29000,C,13,17,12,16,11
NOV-18,29200,C,10,14,9,14,40
NOV-18,29400,C,5,8,5,8,47
NOV-18,29600,C,5,8,5,8,31
NOV-18,29800,C,5,6,5,6,3
NOV-18,30000,C,0,0,0,0,0
NOV-18,30200,C,3,4,3,4,6
NOV-18,30400,C,3,3,3,3,1
NOV-18,30600,C,0,0,0,0,0
NOV-18,30800,C,2,2,2,2,1
NOV-18,31000,C,2,2,2,2,2
NOV-18,31200,C,0,0,0,0,0
NOV-18,31400,C,0,0,0,0,0
NOV-18,31600,C,0,0,0,0,0
NOV-18,31800,C,0,0,0,0,0
NOV-18,32000,C,0,0,0,0,0
NOV-18,32200,C,0,0,0,0,0
NOV-18,32400,C,0,0,0,0,0
NOV-18,32600,C,0,0,0,0,0
NOV-18,32800,C,0,0,0,0,0
NOV-18,33000,C,0,0,0,0,0
NOV-18,33200,C,0,0,0,0,0
NOV-18,33400,C,0,0,0,0,0
NOV-18,33600,C,0,0,0,0,0
NOV-18,33800,C,0,0,0,0,0
NOV-18,34000,C,0,0,0,0,0
NOV-18,34200,C,0,0,0,0,0
NOV-18,34400,C,0,0,0,0,0

,,,,,"TOTAL CALL",,3505

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
NOV-18,19600,P,4,4,4,4,2
NOV-18,19700,P,0,0,0,0,0
NOV-18,19800,P,0,0,0,0,0
NOV-18,19900,P,0,0,0,0,0
NOV-18,20000,P,5,5,5,5,1
NOV-18,20200,P,9,9,9,9,1
NOV-18,20400,P,8,8,8,8,1
NOV-18,20600,P,8,8,8,8,1
NOV-18,20800,P,0,0,0,0,0
NOV-18,21000,P,12,14,10,10,11
NOV-18,21200,P,18,18,12,12,8
NOV-18,21400,P,18,20,18,20,18
NOV-18,21600,P,22,22,19,19,4
NOV-18,21800,P,27,29,20,20,17
NOV-18,22000,P,35,37,22,25,41
NOV-18,22200,P,38,43,26,26,43
NOV-18,22400,P,50,52,31,31,10
NOV-18,22600,P,58,59,39,41,17
NOV-18,22800,P,72,72,46,46,133
NOV-18,23000,P,90,92,57,58,125
NOV-18,23200,P,108,108,69,75,133
NOV-18,23400,P,133,133,80,80,108
NOV-18,23600,P,148,159,93,93,322
NOV-18,23800,P,183,190,118,118,160
NOV-18,24000,P,219,221,140,140,203
NOV-18,24200,P,260,260,165,165,137
NOV-18,24400,P,302,302,208,218,190
NOV-18,24600,P,367,370,250,252,115
NOV-18,24800,P,430,430,270,270,536
NOV-18,25000,P,501,510,340,340,206
NOV-18,25200,P,550,575,400,410,100
NOV-18,25400,P,677,677,474,474,49
NOV-18,25600,P,739,766,570,570,55
NOV-18,25800,P,844,844,688,690,17
NOV-18,26000,P,945,985,798,799,36
NOV-18,26200,P,1090,1090,1090,1090,3
NOV-18,26400,P,0,0,0,0,0
NOV-18,26600,P,0,0,0,0,0
NOV-18,26800,P,0,0,0,0,0
NOV-18,27000,P,0,0,0,0,0
NOV-18,27200,P,0,0,0,0,0
NOV-18,27400,P,0,0,0,0,0
NOV-18,27600,P,0,0,0,0,0
NOV-18,27800,P,0,0,0,0,0
NOV-18,28000,P,0,0,0,0,0
NOV-18,28200,P,0,0,0,0,0
NOV-18,28400,P,0,0,0,0,0
NOV-18,28600,P,0,0,0,0,0
NOV-18,28800,P,0,0,0,0,0
NOV-18,29000,P,0,0,0,0,0
NOV-18,29200,P,0,0,0,0,0
NOV-18,29400,P,0,0,0,0,0
NOV-18,29600,P,0,0,0,0,0
NOV-18,29800,P,0,0,0,0,0
NOV-18,30000,P,0,0,0,0,0
NOV-18,30200,P,0,0,0,0,0
NOV-18,30400,P,0,0,0,0,0
NOV-18,30600,P,0,0,0,0,0
NOV-18,30800,P,0,0,0,0,0
NOV-18,31000,P,0,0,0,0,0
NOV-18,31200,P,0,0,0,0,0
NOV-18,31400,P,0,0,0,0,0
NOV-18,31600,P,0,0,0,0,0
NOV-18,31800,P,0,0,0,0,0
NOV-18,32000,P,0,0,0,0,0
NOV-18,32200,P,0,0,0,0,0
NOV-18,32400,P,0,0,0,0,0
NOV-18,32600,P,0,0,0,0,0
NOV-18,32800,P,0,0,0,0,0
NOV-18,33000,P,0,0,0,0,0
NOV-18,33200,P,0,0,0,0,0
NOV-18,33400,P,0,0,0,0,0
NOV-18,33600,P,0,0,0,0,0
NOV-18,33800,P,0,0,0,0,0
NOV-18,34000,P,0,0,0,0,0
NOV-18,34200,P,0,0,0,0,0
NOV-18,34400,P,0,0,0,0,0

,,,,,"TOTAL PUT",,2803

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
DEC-18,14400,C,0,0,0,0,0
DEC-18,15000,C,0,0,0,0,0
DEC-18,15800,C,0,0,0,0,0
DEC-18,16600,C,0,0,0,0,0
DEC-18,17400,C,0,0,0,0,0
DEC-18,18200,C,0,0,0,0,0
DEC-18,19000,C,0,0,0,0,0
DEC-18,19600,C,0,0,0,0,0
DEC-18,19700,C,0,0,0,0,0
DEC-18,19800,C,0,0,0,0,0
DEC-18,19900,C,0,0,0,0,0
DEC-18,20000,C,0,0,0,0,0
DEC-18,20200,C,0,0,0,0,0
DEC-18,20400,C,0,0,0,0,0
DEC-18,20600,C,0,0,0,0,0
DEC-18,20800,C,0,0,0,0,0
DEC-18,21000,C,0,0,0,0,0
DEC-18,21200,C,0,0,0,0,0
DEC-18,21400,C,0,0,0,0,0
DEC-18,21600,C,0,0,0,0,0
DEC-18,21800,C,0,0,0,0,0
DEC-18,22000,C,0,0,0,0,0
DEC-18,22200,C,0,0,0,0,0
DEC-18,22400,C,0,0,0,0,0
DEC-18,22600,C,0,0,0,0,0
DEC-18,22800,C,0,0,0,0,0
DEC-18,23000,C,0,0,0,0,0
DEC-18,23200,C,0,0,0,0,0
DEC-18,23400,C,0,0,0,0,0
DEC-18,23600,C,0,0,0,0,0
DEC-18,23800,C,0,0,0,0,0
DEC-18,24000,C,0,0,0,0,0
DEC-18,24200,C,0,0,0,0,0
DEC-18,24400,C,0,0,0,0,0
DEC-18,24600,C,0,0,0,0,0
DEC-18,24800,C,0,0,0,0,0
DEC-18,25000,C,0,0,0,0,0
DEC-18,25200,C,0,0,0,0,0
DEC-18,25400,C,1005,1075,1005,1075,652
DEC-18,25600,C,900,900,900,900,1
DEC-18,25800,C,845,900,845,900,2
DEC-18,26000,C,591,774,591,774,7
DEC-18,26200,C,551,605,519,605,12
DEC-18,26400,C,496,496,496,496,3
DEC-18,26600,C,399,453,399,451,7
DEC-18,26800,C,321,445,321,445,5
DEC-18,27000,C,288,372,288,372,8
DEC-18,27200,C,0,0,0,0,0
DEC-18,27400,C,275,275,275,275,1
DEC-18,27600,C,174,248,174,248,4
DEC-18,27800,C,199,199,199,199,2
DEC-18,28000,C,130,165,130,165,1302
DEC-18,28200,C,0,0,0,0,0
DEC-18,28400,C,0,0,0,0,0
DEC-18,28600,C,105,105,105,105,5
DEC-18,28800,C,0,0,0,0,0
DEC-18,29000,C,69,73,69,73,11
DEC-18,29200,C,60,60,60,60,1
DEC-18,29400,C,36,48,36,48,6
DEC-18,29600,C,0,0,0,0,0
DEC-18,29800,C,0,0,0,0,0
DEC-18,30000,C,20,26,20,26,7
DEC-18,30200,C,17,21,17,21,5
DEC-18,30400,C,14,15,14,15,2
DEC-18,30600,C,14,14,14,14,1
DEC-18,30800,C,0,0,0,0,0
DEC-18,31000,C,0,0,0,0,0
DEC-18,31200,C,0,0,0,0,0
DEC-18,31400,C,0,0,0,0,0
DEC-18,31600,C,0,0,0,0,0
DEC-18,31800,C,4,5,4,5,2
DEC-18,32000,C,0,0,0,0,0
DEC-18,32200,C,0,0,0,0,0
DEC-18,32400,C,0,0,0,0,0
DEC-18,32600,C,0,0,0,0,0
DEC-18,32800,C,0,0,0,0,0
DEC-18,33000,C,0,0,0,0,0
DEC-18,33200,C,0,0,0,0,0
DEC-18,33400,C,0,0,0,0,0
DEC-18,33600,C,0,0,0,0,0
DEC-18,33800,C,0,0,0,0,0
DEC-18,34000,C,2,2,2,2,2
DEC-18,34200,C,0,0,0,0,0
DEC-18,34400,C,0,0,0,0,0
DEC-18,34600,C,0,0,0,0,0
DEC-18,34800,C,0,0,0,0,0
DEC-18,35000,C,0,0,0,0,0
DEC-18,35200,C,0,0,0,0,0
DEC-18,35400,C,0,0,0,0,0
DEC-18,35600,C,0,0,0,0,0
DEC-18,35800,C,0,0,0,0,0
DEC-18,36000,C,0,0,0,0,0
DEC-18,36200,C,0,0,0,0,0
DEC-18,36400,C,0,0,0,0,0
DEC-18,36600,C,0,0,0,0,0
DEC-18,36800,C,0,0,0,0,0
DEC-18,37000,C,0,0,0,0,0
DEC-18,37200,C,0,0,0,0,0
DEC-18,37400,C,0,0,0,0,0
DEC-18,37600,C,0,0,0,0,0
DEC-18,37800,C,0,0,0,0,0
DEC-18,38000,C,0,0,0,0,0
DEC-18,38200,C,0,0,0,0,0
DEC-18,38400,C,0,0,0,0,0
DEC-18,38600,C,0,0,0,0,0
DEC-18,38800,C,0,0,0,0,0
DEC-18,39000,C,0,0,0,0,0
DEC-18,39200,C,0,0,0,0,0
DEC-18,39400,C,0,0,0,0,0
DEC-18,39600,C,0,0,0,0,0
DEC-18,39800,C,0,0,0,0,0
DEC-18,40000,C,0,0,0,0,0

,,,,,"TOTAL CALL",,2048

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
DEC-18,14400,P,0,0,0,0,0
DEC-18,15000,P,0,0,0,0,0
DEC-18,15800,P,0,0,0,0,0
DEC-18,16600,P,0,0,0,0,0
DEC-18,17400,P,0,0,0,0,0
DEC-18,18200,P,10,10,10,10,1
DEC-18,19000,P,17,17,16,16,2
DEC-18,19600,P,0,0,0,0,0
DEC-18,19700,P,0,0,0,0,0
DEC-18,19800,P,0,0,0,0,0
DEC-18,19900,P,0,0,0,0,0
DEC-18,20000,P,0,0,0,0,0
DEC-18,20200,P,31,31,29,29,2
DEC-18,20400,P,0,0,0,0,0
DEC-18,20600,P,0,0,0,0,0
DEC-18,20800,P,0,0,0,0,0
DEC-18,21000,P,54,54,47,47,9
DEC-18,21200,P,0,0,0,0,0
DEC-18,21400,P,0,0,0,0,0
DEC-18,21600,P,0,0,0,0,0
DEC-18,21800,P,0,0,0,0,0
DEC-18,22000,P,116,118,83,86,7
DEC-18,22200,P,113,113,99,99,2
DEC-18,22400,P,0,0,0,0,0
DEC-18,22600,P,170,170,170,170,1
DEC-18,22800,P,178,178,151,151,26
DEC-18,23000,P,208,220,163,163,80
DEC-18,23200,P,200,200,200,200,1
DEC-18,23400,P,0,0,0,0,0
DEC-18,23600,P,0,0,0,0,0
DEC-18,23800,P,346,346,301,301,5
DEC-18,24000,P,385,407,318,318,76
