"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
OCT-18,21000,C,0,0,0,0,0
OCT-18,21200,C,0,0,0,0,0
OCT-18,21400,C,0,0,0,0,0
OCT-18,21600,C,0,0,0,0,0
OCT-18,21800,C,0,0,0,0,0
OCT-18,22000,C,0,0,0,0,0
OCT-18,22200,C,0,0,0,0,0
OCT-18,22400,C,0,0,0,0,0
OCT-18,22600,C,0,0,0,0,0
OCT-18,22800,C,0,0,0,0,0
OCT-18,23000,C,0,0,0,0,0
OCT-18,23200,C,0,0,0,0,0
OCT-18,23400,C,0,0,0,0,0
OCT-18,23600,C,0,0,0,0,0
OCT-18,23800,C,0,0,0,0,0
OCT-18,24000,C,0,0,0,0,0
OCT-18,24200,C,0,0,0,0,0
OCT-18,24400,C,0,0,0,0,0
OCT-18,24600,C,0,0,0,0,0
OCT-18,24800,C,0,0,0,0,0
OCT-18,25000,C,0,0,0,0,0
OCT-18,25200,C,0,0,0,0,0
OCT-18,25400,C,0,0,0,0,0
OCT-18,25600,C,0,0,0,0,0
OCT-18,25800,C,0,0,0,0,0
OCT-18,26000,C,1198,1290,1198,1290,2
OCT-18,26200,C,0,0,0,0,0
OCT-18,26400,C,986,986,986,986,1
OCT-18,26600,C,0,0,0,0,0
OCT-18,26800,C,751,772,751,767,13
OCT-18,27000,C,545,633,530,623,64
OCT-18,27200,C,450,530,427,530,83
OCT-18,27400,C,343,434,343,417,161
OCT-18,27600,C,271,347,271,330,197
OCT-18,27800,C,235,277,212,266,109
OCT-18,28000,C,169,214,169,197,95
OCT-18,28200,C,128,162,128,159,146
OCT-18,28400,C,101,123,94,116,108
OCT-18,28600,C,72,93,72,87,138
OCT-18,28800,C,55,70,55,67,124
OCT-18,29000,C,41,51,39,49,65
OCT-18,29200,C,29,38,29,36,69
OCT-18,29400,C,22,27,22,26,19
OCT-18,29600,C,15,20,15,20,17
OCT-18,29800,C,14,14,13,14,5
OCT-18,30000,C,9,11,9,11,36
OCT-18,30200,C,7,8,7,8,21
OCT-18,30400,C,0,0,0,0,0
OCT-18,30600,C,0,0,0,0,0
OCT-18,30800,C,0,0,0,0,0
OCT-18,31000,C,0,0,0,0,0
OCT-18,31200,C,0,0,0,0,0
OCT-18,31400,C,0,0,0,0,0
OCT-18,31600,C,0,0,0,0,0
OCT-18,31800,C,0,0,0,0,0
OCT-18,32000,C,0,0,0,0,0
OCT-18,32200,C,0,0,0,0,0
OCT-18,32400,C,0,0,0,0,0
OCT-18,32600,C,0,0,0,0,0
OCT-18,32800,C,0,0,0,0,0
OCT-18,33000,C,0,0,0,0,0
OCT-18,33200,C,0,0,0,0,0
OCT-18,33400,C,0,0,0,0,0
OCT-18,33600,C,0,0,0,0,0
OCT-18,33800,C,0,0,0,0,0
OCT-18,34000,C,0,0,0,0,0
OCT-18,34200,C,0,0,0,0,0
OCT-18,34400,C,0,0,0,0,0
OCT-18,34600,C,0,0,0,0,0
OCT-18,34800,C,0,0,0,0,0

,,,,,"TOTAL CALL",,1473

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
OCT-18,21000,P,0,0,0,0,0
OCT-18,21200,P,0,0,0,0,0
OCT-18,21400,P,0,0,0,0,0
OCT-18,21600,P,0,0,0,0,0
OCT-18,21800,P,0,0,0,0,0
OCT-18,22000,P,6,6,6,6,1
OCT-18,22200,P,0,0,0,0,0
OCT-18,22400,P,0,0,0,0,0
OCT-18,22600,P,10,10,10,10,3
OCT-18,22800,P,13,13,13,13,2
OCT-18,23000,P,15,15,13,13,3
OCT-18,23200,P,18,18,18,18,1
OCT-18,23400,P,17,18,17,18,6
OCT-18,23600,P,21,21,21,21,3
OCT-18,23800,P,32,32,23,25,11
OCT-18,24000,P,35,35,30,30,31
OCT-18,24200,P,43,45,36,36,39
OCT-18,24400,P,54,54,45,46,51
OCT-18,24600,P,69,69,57,57,48
OCT-18,24800,P,91,91,67,68,38
OCT-18,25000,P,108,108,82,90,121
OCT-18,25200,P,123,123,97,97,44
OCT-18,25400,P,154,158,120,120,77
OCT-18,25600,P,191,191,144,144,54
OCT-18,25800,P,221,226,172,184,49
OCT-18,26000,P,260,266,201,208,155
OCT-18,26200,P,312,315,240,244,105
OCT-18,26400,P,370,375,290,306,212
OCT-18,26600,P,423,450,350,350,114
OCT-18,26800,P,525,525,406,406,126
OCT-18,27000,P,600,600,480,480,104
OCT-18,27200,P,667,667,570,570,17
OCT-18,27400,P,815,815,675,677,35
OCT-18,27600,P,876,878,813,813,4
OCT-18,27800,P,1030,1030,1030,1030,5
OCT-18,28000,P,1251,1251,1133,1205,14
OCT-18,28200,P,1289,1289,1289,1289,1
OCT-18,28400,P,0,0,0,0,0
OCT-18,28600,P,0,0,0,0,0
OCT-18,28800,P,0,0,0,0,0
OCT-18,29000,P,0,0,0,0,0
OCT-18,29200,P,0,0,0,0,0
OCT-18,29400,P,0,0,0,0,0
OCT-18,29600,P,0,0,0,0,0
OCT-18,29800,P,0,0,0,0,0
OCT-18,30000,P,0,0,0,0,0
OCT-18,30200,P,0,0,0,0,0
OCT-18,30400,P,0,0,0,0,0
OCT-18,30600,P,0,0,0,0,0
OCT-18,30800,P,0,0,0,0,0
OCT-18,31000,P,0,0,0,0,0
OCT-18,31200,P,0,0,0,0,0
OCT-18,31400,P,0,0,0,0,0
OCT-18,31600,P,0,0,0,0,0
OCT-18,31800,P,0,0,0,0,0
OCT-18,32000,P,0,0,0,0,0
OCT-18,32200,P,0,0,0,0,0
OCT-18,32400,P,0,0,0,0,0
OCT-18,32600,P,0,0,0,0,0
OCT-18,32800,P,0,0,0,0,0
OCT-18,33000,P,0,0,0,0,0
OCT-18,33200,P,0,0,0,0,0
OCT-18,33400,P,0,0,0,0,0
OCT-18,33600,P,0,0,0,0,0
OCT-18,33800,P,0,0,0,0,0
OCT-18,34000,P,0,0,0,0,0
OCT-18,34200,P,0,0,0,0,0
OCT-18,34400,P,0,0,0,0,0
OCT-18,34600,P,0,0,0,0,0
OCT-18,34800,P,0,0,0,0,0

,,,,,"TOTAL PUT",,1474

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
NOV-18,21000,C,0,0,0,0,0
NOV-18,21200,C,0,0,0,0,0
NOV-18,21400,C,0,0,0,0,0
NOV-18,21600,C,0,0,0,0,0
NOV-18,21800,C,0,0,0,0,0
NOV-18,22000,C,0,0,0,0,0
NOV-18,22200,C,0,0,0,0,0
NOV-18,22400,C,0,0,0,0,0
NOV-18,22600,C,0,0,0,0,0
NOV-18,22800,C,0,0,0,0,0
NOV-18,23000,C,0,0,0,0,0
NOV-18,23200,C,0,0,0,0,0
NOV-18,23400,C,0,0,0,0,0
NOV-18,23600,C,0,0,0,0,0
NOV-18,23800,C,0,0,0,0,0
NOV-18,24000,C,0,0,0,0,0
NOV-18,24200,C,0,0,0,0,0
NOV-18,24400,C,0,0,0,0,0
NOV-18,24600,C,0,0,0,0,0
NOV-18,24800,C,0,0,0,0,0
NOV-18,25000,C,0,0,0,0,0
NOV-18,25200,C,0,0,0,0,0
NOV-18,25400,C,0,0,0,0,0
NOV-18,25600,C,0,0,0,0,0
NOV-18,25800,C,0,0,0,0,0
NOV-18,26000,C,0,0,0,0,0
NOV-18,26200,C,1255,1255,1255,1255,6
NOV-18,26400,C,0,0,0,0,0
NOV-18,26600,C,0,0,0,0,0
NOV-18,26800,C,0,0,0,0,0
NOV-18,27000,C,896,896,896,896,1
NOV-18,27200,C,755,755,755,755,1
NOV-18,27400,C,625,681,625,681,3
NOV-18,27600,C,0,0,0,0,0
NOV-18,27800,C,0,0,0,0,0
NOV-18,28000,C,0,0,0,0,0
NOV-18,28200,C,0,0,0,0,0
NOV-18,28400,C,293,301,293,301,8
NOV-18,28600,C,0,0,0,0,0
NOV-18,28800,C,0,0,0,0,0
NOV-18,29000,C,165,165,165,165,1
NOV-18,29200,C,0,0,0,0,0
NOV-18,29400,C,0,0,0,0,0
NOV-18,29600,C,0,0,0,0,0
NOV-18,29800,C,0,0,0,0,0
NOV-18,30000,C,67,67,67,67,1
NOV-18,30200,C,52,52,52,52,2
NOV-18,30400,C,41,43,41,43,5
NOV-18,30600,C,0,0,0,0,0
NOV-18,30800,C,0,0,0,0,0
NOV-18,31000,C,18,18,18,18,1
NOV-18,31200,C,0,0,0,0,0
NOV-18,31400,C,0,0,0,0,0
NOV-18,31600,C,0,0,0,0,0
NOV-18,31800,C,9,9,9,9,12
NOV-18,32000,C,0,0,0,0,0
NOV-18,32200,C,0,0,0,0,0
NOV-18,32400,C,0,0,0,0,0
NOV-18,32600,C,0,0,0,0,0
NOV-18,32800,C,0,0,0,0,0
NOV-18,33000,C,0,0,0,0,0
NOV-18,33200,C,0,0,0,0,0
NOV-18,33400,C,0,0,0,0,0
NOV-18,33600,C,0,0,0,0,0
NOV-18,33800,C,0,0,0,0,0
NOV-18,34000,C,0,0,0,0,0
NOV-18,34200,C,0,0,0,0,0
NOV-18,34400,C,0,0,0,0,0

,,,,,"TOTAL CALL",,41

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
NOV-18,21000,P,16,16,16,16,2
NOV-18,21200,P,0,0,0,0,0
NOV-18,21400,P,0,0,0,0,0
NOV-18,21600,P,0,0,0,0,0
NOV-18,21800,P,22,22,22,22,2
NOV-18,22000,P,27,27,27,27,1
NOV-18,22200,P,0,0,0,0,0
NOV-18,22400,P,0,0,0,0,0
NOV-18,22600,P,0,0,0,0,0
NOV-18,22800,P,0,0,0,0,0
