"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
OCT-18,20000,C,0,0,0,0,0
OCT-18,20200,C,0,0,0,0,0
OCT-18,20400,C,0,0,0,0,0
OCT-18,20600,C,0,0,0,0,0
OCT-18,20800,C,0,0,0,0,0
OCT-18,21000,C,0,0,0,0,0
OCT-18,21200,C,0,0,0,0,0
OCT-18,21400,C,0,0,0,0,0
OCT-18,21600,C,0,0,0,0,0
OCT-18,21800,C,0,0,0,0,0
OCT-18,22000,C,0,0,0,0,0
OCT-18,22200,C,0,0,0,0,0
OCT-18,22400,C,0,0,0,0,0
OCT-18,22600,C,0,0,0,0,0
OCT-18,22800,C,0,0,0,0,0
OCT-18,23000,C,0,0,0,0,0
OCT-18,23200,C,0,0,0,0,0
OCT-18,23400,C,0,0,0,0,0
OCT-18,23600,C,0,0,0,0,0
OCT-18,23800,C,0,0,0,0,0
OCT-18,24000,C,0,0,0,0,0
OCT-18,24200,C,848,848,848,848,1
OCT-18,24400,C,653,654,596,654,3
OCT-18,24600,C,527,590,478,590,17
OCT-18,24800,C,372,447,296,438,123
OCT-18,25000,C,227,310,185,294,438
OCT-18,25200,C,139,191,111,186,605
OCT-18,25400,C,81,102,62,96,761
OCT-18,25600,C,44,55,35,48,362
OCT-18,25800,C,23,29,20,27,222
OCT-18,26000,C,14,17,12,12,96
OCT-18,26200,C,9,11,8,9,29
OCT-18,26400,C,5,6,5,6,2
OCT-18,26600,C,4,5,4,5,29
OCT-18,26800,C,3,4,3,4,4
OCT-18,27000,C,2,4,2,4,69
OCT-18,27200,C,3,3,3,3,3
OCT-18,27400,C,0,0,0,0,0
OCT-18,27600,C,2,2,2,2,3
OCT-18,27800,C,2,2,2,2,1
OCT-18,28000,C,2,2,2,2,1
OCT-18,28200,C,1,1,1,1,2
OCT-18,28400,C,1,1,1,1,1
OCT-18,28600,C,0,0,0,0,0
OCT-18,28800,C,0,0,0,0,0
OCT-18,29000,C,1,2,1,2,20
OCT-18,29200,C,0,0,0,0,0
OCT-18,29400,C,0,0,0,0,0
OCT-18,29600,C,0,0,0,0,0
OCT-18,29800,C,0,0,0,0,0
OCT-18,30000,C,0,0,0,0,0
OCT-18,30200,C,0,0,0,0,0
OCT-18,30400,C,0,0,0,0,0
OCT-18,30600,C,0,0,0,0,0
OCT-18,30800,C,0,0,0,0,0
OCT-18,31000,C,0,0,0,0,0
OCT-18,31200,C,0,0,0,0,0
OCT-18,31400,C,0,0,0,0,0
OCT-18,31600,C,0,0,0,0,0
OCT-18,31800,C,0,0,0,0,0
OCT-18,32000,C,0,0,0,0,0
OCT-18,32200,C,0,0,0,0,0
OCT-18,32400,C,0,0,0,0,0
OCT-18,32600,C,0,0,0,0,0
OCT-18,32800,C,0,0,0,0,0
OCT-18,33000,C,0,0,0,0,0
OCT-18,33200,C,0,0,0,0,0
OCT-18,33400,C,0,0,0,0,0
OCT-18,33600,C,0,0,0,0,0
OCT-18,33800,C,0,0,0,0,0
OCT-18,34000,C,0,0,0,0,0
OCT-18,34200,C,0,0,0,0,0
OCT-18,34400,C,0,0,0,0,0
OCT-18,34600,C,0,0,0,0,0
OCT-18,34800,C,0,0,0,0,0

,,,,,"TOTAL CALL",,2792

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
OCT-18,20000,P,1,1,1,1,1
OCT-18,20200,P,0,0,0,0,0
OCT-18,20400,P,0,0,0,0,0
OCT-18,20600,P,2,2,2,2,1
OCT-18,20800,P,0,0,0,0,0
OCT-18,21000,P,0,0,0,0,0
OCT-18,21200,P,0,0,0,0,0
OCT-18,21400,P,0,0,0,0,0
OCT-18,21600,P,0,0,0,0,0
OCT-18,21800,P,0,0,0,0,0
OCT-18,22000,P,2,2,2,2,2
OCT-18,22200,P,3,3,3,3,2
OCT-18,22400,P,0,0,0,0,0
OCT-18,22600,P,4,4,2,2,38
OCT-18,22800,P,5,5,3,3,4
OCT-18,23000,P,8,9,3,3,12
OCT-18,23200,P,11,12,3,3,10
OCT-18,23400,P,14,17,5,5,25
OCT-18,23600,P,22,26,9,9,182
OCT-18,23800,P,28,38,10,10,190
OCT-18,24000,P,48,55,14,16,393
OCT-18,24200,P,70,82,18,20,377
OCT-18,24400,P,97,120,40,45,323
OCT-18,24600,P,150,170,58,62,323
OCT-18,24800,P,192,242,98,100,424
OCT-18,25000,P,270,333,150,157,336
OCT-18,25200,P,402,460,240,243,104
OCT-18,25400,P,520,590,360,365,34
OCT-18,25600,P,623,623,535,535,9
OCT-18,25800,P,800,800,700,700,3
OCT-18,26000,P,1072,1120,920,920,47
OCT-18,26200,P,1200,1200,1200,1200,1
OCT-18,26400,P,1550,1552,1450,1450,11
OCT-18,26600,P,0,0,0,0,0
OCT-18,26800,P,0,0,0,0,0
OCT-18,27000,P,2024,2055,2011,2011,7
OCT-18,27200,P,0,0,0,0,0
OCT-18,27400,P,2524,2547,2453,2453,10
OCT-18,27600,P,0,0,0,0,0
OCT-18,27800,P,0,0,0,0,0
OCT-18,28000,P,0,0,0,0,0
OCT-18,28200,P,0,0,0,0,0
OCT-18,28400,P,0,0,0,0,0
OCT-18,28600,P,0,0,0,0,0
OCT-18,28800,P,0,0,0,0,0
OCT-18,29000,P,0,0,0,0,0
OCT-18,29200,P,0,0,0,0,0
OCT-18,29400,P,0,0,0,0,0
OCT-18,29600,P,0,0,0,0,0
OCT-18,29800,P,0,0,0,0,0
OCT-18,30000,P,0,0,0,0,0
OCT-18,30200,P,0,0,0,0,0
OCT-18,30400,P,0,0,0,0,0
OCT-18,30600,P,0,0,0,0,0
OCT-18,30800,P,0,0,0,0,0
OCT-18,31000,P,0,0,0,0,0
OCT-18,31200,P,0,0,0,0,0
OCT-18,31400,P,0,0,0,0,0
OCT-18,31600,P,0,0,0,0,0
OCT-18,31800,P,0,0,0,0,0
OCT-18,32000,P,0,0,0,0,0
OCT-18,32200,P,0,0,0,0,0
OCT-18,32400,P,0,0,0,0,0
OCT-18,32600,P,0,0,0,0,0
