"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
OCT-18,20000,C,0,0,0,0,0
OCT-18,20200,C,0,0,0,0,0
OCT-18,20400,C,0,0,0,0,0
OCT-18,20600,C,0,0,0,0,0
OCT-18,20800,C,0,0,0,0,0
OCT-18,21000,C,0,0,0,0,0
OCT-18,21200,C,0,0,0,0,0
OCT-18,21400,C,0,0,0,0,0
OCT-18,21600,C,0,0,0,0,0
OCT-18,21800,C,0,0,0,0,0
OCT-18,22000,C,0,0,0,0,0
OCT-18,22200,C,0,0,0,0,0
OCT-18,22400,C,0,0,0,0,0
OCT-18,22600,C,0,0,0,0,0
OCT-18,22800,C,0,0,0,0,0
OCT-18,23000,C,0,0,0,0,0
OCT-18,23200,C,0,0,0,0,0
OCT-18,23400,C,0,0,0,0,0
OCT-18,23600,C,0,0,0,0,0
OCT-18,23800,C,0,0,0,0,0
OCT-18,24000,C,0,0,0,0,0
OCT-18,24200,C,0,0,0,0,0
OCT-18,24400,C,0,0,0,0,0
OCT-18,24600,C,834,838,834,838,12
OCT-18,24800,C,610,683,575,608,5
OCT-18,25000,C,500,580,434,550,67
OCT-18,25200,C,345,420,315,399,143
OCT-18,25400,C,282,335,223,319,208
OCT-18,25600,C,165,235,149,224,223
OCT-18,25800,C,112,160,99,145,391
OCT-18,26000,C,79,108,64,95,413
OCT-18,26200,C,44,70,41,70,532
OCT-18,26400,C,32,47,26,44,366
OCT-18,26600,C,20,31,17,30,134
OCT-18,26800,C,13,22,11,22,122
OCT-18,27000,C,8,18,8,18,116
OCT-18,27200,C,8,15,7,15,37
OCT-18,27400,C,6,10,5,10,9
OCT-18,27600,C,5,6,5,5,5
OCT-18,27800,C,5,6,5,6,13
OCT-18,28000,C,4,5,3,5,12
OCT-18,28200,C,2,4,2,4,7
OCT-18,28400,C,2,4,2,3,11
OCT-18,28600,C,2,2,2,2,3
OCT-18,28800,C,2,2,2,2,33
OCT-18,29000,C,2,2,1,1,3
OCT-18,29200,C,2,2,2,2,2
OCT-18,29400,C,0,0,0,0,0
OCT-18,29600,C,0,0,0,0,0
OCT-18,29800,C,0,0,0,0,0
OCT-18,30000,C,0,0,0,0,0
OCT-18,30200,C,0,0,0,0,0
OCT-18,30400,C,0,0,0,0,0
OCT-18,30600,C,0,0,0,0,0
OCT-18,30800,C,0,0,0,0,0
OCT-18,31000,C,0,0,0,0,0
OCT-18,31200,C,0,0,0,0,0
OCT-18,31400,C,0,0,0,0,0
OCT-18,31600,C,0,0,0,0,0
OCT-18,31800,C,0,0,0,0,0
OCT-18,32000,C,0,0,0,0,0
OCT-18,32200,C,0,0,0,0,0
OCT-18,32400,C,0,0,0,0,0
OCT-18,32600,C,0,0,0,0,0
OCT-18,32800,C,0,0,0,0,0
OCT-18,33000,C,0,0,0,0,0
OCT-18,33200,C,0,0,0,0,0
OCT-18,33400,C,0,0,0,0,0
OCT-18,33600,C,0,0,0,0,0
OCT-18,33800,C,0,0,0,0,0
OCT-18,34000,C,0,0,0,0,0
OCT-18,34200,C,0,0,0,0,0
OCT-18,34400,C,0,0,0,0,0
OCT-18,34600,C,0,0,0,0,0
OCT-18,34800,C,0,0,0,0,0

,,,,,"TOTAL CALL",,2867

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
OCT-18,20000,P,2,2,2,2,1
OCT-18,20200,P,0,0,0,0,0
OCT-18,20400,P,3,3,3,3,5
OCT-18,20600,P,3,3,3,3,1
OCT-18,20800,P,0,0,0,0,0
OCT-18,21000,P,3,3,3,3,2
OCT-18,21200,P,4,7,4,5,49
OCT-18,21400,P,6,6,5,6,3
OCT-18,21600,P,5,5,5,5,91
OCT-18,21800,P,6,10,6,7,48
OCT-18,22000,P,6,11,6,11,17
OCT-18,22200,P,8,11,6,11,8
OCT-18,22400,P,8,18,8,14,25
OCT-18,22600,P,14,22,13,21,11
OCT-18,22800,P,16,33,11,26,32
OCT-18,23000,P,17,42,16,23,93
OCT-18,23200,P,22,50,20,35,69
OCT-18,23400,P,27,69,27,41,93
OCT-18,23600,P,44,88,36,54,159
OCT-18,23800,P,56,122,51,64,164
OCT-18,24000,P,72,158,64,96,601
OCT-18,24200,P,88,182,85,111,435
OCT-18,24400,P,127,219,110,138,452
OCT-18,24600,P,163,259,140,165,424
OCT-18,24800,P,199,308,187,225,604
OCT-18,25000,P,250,372,225,270,679
OCT-18,25200,P,320,455,310,321,403
OCT-18,25400,P,421,565,414,414,166
OCT-18,25600,P,520,678,510,555,89
OCT-18,25800,P,690,788,687,780,12
OCT-18,26000,P,865,950,789,800,12
OCT-18,26200,P,1165,1170,1165,1170,10
OCT-18,26400,P,1190,1300,1190,1300,12
OCT-18,26600,P,0,0,0,0,0
OCT-18,26800,P,0,0,0,0,0
OCT-18,27000,P,0,0,0,0,0
OCT-18,27200,P,2055,2055,2055,2055,5
OCT-18,27400,P,0,0,0,0,0
OCT-18,27600,P,0,0,0,0,0
OCT-18,27800,P,0,0,0,0,0
OCT-18,28000,P,0,0,0,0,0
OCT-18,28200,P,0,0,0,0,0
OCT-18,28400,P,0,0,0,0,0
OCT-18,28600,P,0,0,0,0,0
OCT-18,28800,P,0,0,0,0,0
OCT-18,29000,P,0,0,0,0,0
OCT-18,29200,P,0,0,0,0,0
OCT-18,29400,P,0,0,0,0,0
OCT-18,29600,P,0,0,0,0,0
OCT-18,29800,P,0,0,0,0,0
OCT-18,30000,P,0,0,0,0,0
OCT-18,30200,P,0,0,0,0,0
OCT-18,30400,P,0,0,0,0,0
OCT-18,30600,P,0,0,0,0,0
OCT-18,30800,P,0,0,0,0,0
OCT-18,31000,P,0,0,0,0,0
OCT-18,31200,P,0,0,0,0,0
OCT-18,31400,P,0,0,0,0,0
OCT-18,31600,P,0,0,0,0,0
OCT-18,31800,P,0,0,0,0,0
OCT-18,32000,P,0,0,0,0,0
OCT-18,32200,P,0,0,0,0,0
OCT-18,32400,P,0,0,0,0,0
OCT-18,32600,P,0,0,0,0,0
