"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
NOV-18,19600,C,0,0,0,0,0
NOV-18,19700,C,0,0,0,0,0
NOV-18,19800,C,0,0,0,0,0
NOV-18,19900,C,0,0,0,0,0
NOV-18,20000,C,0,0,0,0,0
NOV-18,20200,C,0,0,0,0,0
NOV-18,20400,C,0,0,0,0,0
NOV-18,20600,C,0,0,0,0,0
NOV-18,20800,C,0,0,0,0,0
NOV-18,21000,C,0,0,0,0,0
NOV-18,21200,C,0,0,0,0,0
NOV-18,21400,C,0,0,0,0,0
NOV-18,21600,C,0,0,0,0,0
NOV-18,21800,C,0,0,0,0,0
NOV-18,22000,C,0,0,0,0,0
NOV-18,22200,C,0,0,0,0,0
NOV-18,22400,C,0,0,0,0,0
NOV-18,22600,C,0,0,0,0,0
NOV-18,22800,C,0,0,0,0,0
NOV-18,23000,C,0,0,0,0,0
NOV-18,23200,C,0,0,0,0,0
NOV-18,23400,C,0,0,0,0,0
NOV-18,23600,C,0,0,0,0,0
NOV-18,23800,C,0,0,0,0,0
NOV-18,24000,C,0,0,0,0,0
NOV-18,24200,C,0,0,0,0,0
NOV-18,24400,C,1158,1268,1158,1268,12
NOV-18,24600,C,1117,1126,1040,1073,24
NOV-18,24800,C,942,942,942,942,1
NOV-18,25000,C,842,842,770,788,67
NOV-18,25200,C,645,673,624,634,8
NOV-18,25400,C,602,602,509,523,113
NOV-18,25600,C,471,471,410,431,77
NOV-18,25800,C,398,398,323,328,105
NOV-18,26000,C,308,313,249,272,207
NOV-18,26200,C,236,239,193,199,270
NOV-18,26400,C,173,174,145,160,229
NOV-18,26600,C,134,139,108,111,110
NOV-18,26800,C,105,105,81,83,73
NOV-18,27000,C,76,76,61,61,128
NOV-18,27200,C,55,55,43,45,155
NOV-18,27400,C,39,39,32,33,75
NOV-18,27600,C,28,29,24,25,97
NOV-18,27800,C,19,22,18,18,66
NOV-18,28000,C,15,16,13,13,48
NOV-18,28200,C,11,12,10,11,27
NOV-18,28400,C,8,8,8,8,3
NOV-18,28600,C,6,7,6,7,33
NOV-18,28800,C,4,5,4,5,2
NOV-18,29000,C,3,3,3,3,3
NOV-18,29200,C,3,3,3,3,1
NOV-18,29400,C,2,2,2,2,3
NOV-18,29600,C,0,0,0,0,0
NOV-18,29800,C,1,2,1,2,4
NOV-18,30000,C,0,0,0,0,0
NOV-18,30200,C,0,0,0,0,0
NOV-18,30400,C,1,1,1,1,1
NOV-18,30600,C,0,0,0,0,0
NOV-18,30800,C,0,0,0,0,0
NOV-18,31000,C,0,0,0,0,0
NOV-18,31200,C,0,0,0,0,0
NOV-18,31400,C,0,0,0,0,0
NOV-18,31600,C,0,0,0,0,0
NOV-18,31800,C,0,0,0,0,0
NOV-18,32000,C,0,0,0,0,0
NOV-18,32200,C,0,0,0,0,0
NOV-18,32400,C,0,0,0,0,0
NOV-18,32600,C,0,0,0,0,0
NOV-18,32800,C,0,0,0,0,0
NOV-18,33000,C,0,0,0,0,0
NOV-18,33200,C,0,0,0,0,0
NOV-18,33400,C,0,0,0,0,0
NOV-18,33600,C,0,0,0,0,0
NOV-18,33800,C,0,0,0,0,0
NOV-18,34000,C,0,0,0,0,0
NOV-18,34200,C,0,0,0,0,0
NOV-18,34400,C,0,0,0,0,0

,,,,,"TOTAL CALL",,1942

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
NOV-18,19600,P,3,3,3,3,3
NOV-18,19700,P,0,0,0,0,0
NOV-18,19800,P,4,4,4,4,24
NOV-18,19900,P,3,3,3,3,1
NOV-18,20000,P,5,6,5,6,5
NOV-18,20200,P,6,6,6,6,5
NOV-18,20400,P,7,7,7,7,1
NOV-18,20600,P,0,0,0,0,0
NOV-18,20800,P,0,0,0,0,0
NOV-18,21000,P,10,10,10,10,1
NOV-18,21200,P,10,11,10,11,3
NOV-18,21400,P,12,12,12,12,2
NOV-18,21600,P,14,16,14,16,6
NOV-18,21800,P,18,19,17,18,10
NOV-18,22000,P,19,23,19,22,18
NOV-18,22200,P,23,27,23,27,9
NOV-18,22400,P,34,35,34,35,11
NOV-18,22600,P,31,42,31,37,34
NOV-18,22800,P,39,52,39,46,60
NOV-18,23000,P,46,64,46,56,112
NOV-18,23200,P,59,77,59,69,48
NOV-18,23400,P,73,96,73,90,39
NOV-18,23600,P,88,114,88,107,46
NOV-18,23800,P,111,140,111,128,77
NOV-18,24000,P,130,169,130,164,97
NOV-18,24200,P,170,207,170,182,117
NOV-18,24400,P,198,246,194,234,147
NOV-18,24600,P,253,297,253,274,77
NOV-18,24800,P,279,351,279,331,155
NOV-18,25000,P,350,420,337,395,240
NOV-18,25200,P,409,500,407,469,119
NOV-18,25400,P,488,580,488,563,97
NOV-18,25600,P,575,680,570,662,57
NOV-18,25800,P,727,781,727,745,7
NOV-18,26000,P,787,919,787,868,5
NOV-18,26200,P,1035,1035,990,990,5
NOV-18,26400,P,1174,1175,1174,1175,2
NOV-18,26600,P,1246,1390,1246,1390,18
NOV-18,26800,P,0,0,0,0,0
NOV-18,27000,P,1592,1599,1592,1599,20
NOV-18,27200,P,0,0,0,0,0
NOV-18,27400,P,0,0,0,0,0
NOV-18,27600,P,0,0,0,0,0
NOV-18,27800,P,0,0,0,0,0
NOV-18,28000,P,0,0,0,0,0
NOV-18,28200,P,0,0,0,0,0
NOV-18,28400,P,0,0,0,0,0
NOV-18,28600,P,0,0,0,0,0
NOV-18,28800,P,0,0,0,0,0
NOV-18,29000,P,0,0,0,0,0
NOV-18,29200,P,0,0,0,0,0
NOV-18,29400,P,0,0,0,0,0
NOV-18,29600,P,0,0,0,0,0
NOV-18,29800,P,0,0,0,0,0
NOV-18,30000,P,0,0,0,0,0
NOV-18,30200,P,0,0,0,0,0
NOV-18,30400,P,0,0,0,0,0
NOV-18,30600,P,0,0,0,0,0
NOV-18,30800,P,0,0,0,0,0
NOV-18,31000,P,0,0,0,0,0
NOV-18,31200,P,0,0,0,0,0
NOV-18,31400,P,0,0,0,0,0
NOV-18,31600,P,0,0,0,0,0
NOV-18,31800,P,0,0,0,0,0
NOV-18,32000,P,0,0,0,0,0
NOV-18,32200,P,0,0,0,0,0
NOV-18,32400,P,0,0,0,0,0
NOV-18,32600,P,0,0,0,0,0
NOV-18,32800,P,0,0,0,0,0
NOV-18,33000,P,0,0,0,0,0
NOV-18,33200,P,0,0,0,0,0
NOV-18,33400,P,0,0,0,0,0
NOV-18,33600,P,0,0,0,0,0
NOV-18,33800,P,0,0,0,0,0
NOV-18,34000,P,0,0,0,0,0
NOV-18,34200,P,0,0,0,0,0
NOV-18,34400,P,0,0,0,0,0

,,,,,"TOTAL PUT",,1678

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
DEC-18,14400,C,0,0,0,0,0
DEC-18,15000,C,0,0,0,0,0
DEC-18,15800,C,0,0,0,0,0
DEC-18,16600,C,0,0,0,0,0
DEC-18,17400,C,0,0,0,0,0
DEC-18,18200,C,0,0,0,0,0
DEC-18,19000,C,0,0,0,0,0
DEC-18,19600,C,0,0,0,0,0
DEC-18,19700,C,0,0,0,0,0
DEC-18,19800,C,0,0,0,0,0
DEC-18,19900,C,0,0,0,0,0
DEC-18,20000,C,0,0,0,0,0
DEC-18,20200,C,0,0,0,0,0
DEC-18,20400,C,0,0,0,0,0
DEC-18,20600,C,0,0,0,0,0
DEC-18,20800,C,0,0,0,0,0
DEC-18,21000,C,0,0,0,0,0
DEC-18,21200,C,0,0,0,0,0
DEC-18,21400,C,0,0,0,0,0
DEC-18,21600,C,0,0,0,0,0
DEC-18,21800,C,0,0,0,0,0
DEC-18,22000,C,0,0,0,0,0
DEC-18,22200,C,0,0,0,0,0
DEC-18,22400,C,0,0,0,0,0
DEC-18,22600,C,0,0,0,0,0
DEC-18,22800,C,0,0,0,0,0
DEC-18,23000,C,0,0,0,0,0
DEC-18,23200,C,0,0,0,0,0
DEC-18,23400,C,0,0,0,0,0
DEC-18,23600,C,0,0,0,0,0
DEC-18,23800,C,0,0,0,0,0
DEC-18,24000,C,0,0,0,0,0
DEC-18,24200,C,0,0,0,0,0
DEC-18,24400,C,0,0,0,0,0
DEC-18,24600,C,0,0,0,0,0
DEC-18,24800,C,0,0,0,0,0
DEC-18,25000,C,0,0,0,0,0
DEC-18,25200,C,0,0,0,0,0
DEC-18,25400,C,855,855,855,855,1
DEC-18,25600,C,755,755,737,737,2
DEC-18,25800,C,642,655,642,655,2
DEC-18,26000,C,519,555,519,555,2
DEC-18,26200,C,440,450,440,450,2
DEC-18,26400,C,372,403,372,403,4
DEC-18,26600,C,315,332,315,330,8
DEC-18,26800,C,283,283,283,283,1
DEC-18,27000,C,225,225,225,225,3
DEC-18,27200,C,199,199,186,191,10
DEC-18,27400,C,0,0,0,0,0
DEC-18,27600,C,123,129,123,129,3
DEC-18,27800,C,0,0,0,0,0
DEC-18,28000,C,95,95,85,85,2
DEC-18,28200,C,66,70,66,70,4
DEC-18,28400,C,55,58,55,55,5
DEC-18,28600,C,43,45,43,44,8
DEC-18,28800,C,38,38,36,36,2
DEC-18,29000,C,29,29,29,29,1
DEC-18,29200,C,0,0,0,0,0
DEC-18,29400,C,0,0,0,0,0
DEC-18,29600,C,0,0,0,0,0
DEC-18,29800,C,0,0,0,0,0
DEC-18,30000,C,11,11,11,11,5
DEC-18,30200,C,8,8,8,8,2
DEC-18,30400,C,0,0,0,0,0
DEC-18,30600,C,0,0,0,0,0
DEC-18,30800,C,0,0,0,0,0
DEC-18,31000,C,0,0,0,0,0
DEC-18,31200,C,0,0,0,0,0
DEC-18,31400,C,0,0,0,0,0
DEC-18,31600,C,0,0,0,0,0
DEC-18,31800,C,0,0,0,0,0
DEC-18,32000,C,0,0,0,0,0
DEC-18,32200,C,0,0,0,0,0
DEC-18,32400,C,0,0,0,0,0
DEC-18,32600,C,0,0,0,0,0
DEC-18,32800,C,0,0,0,0,0
DEC-18,33000,C,0,0,0,0,0
DEC-18,33200,C,0,0,0,0,0
DEC-18,33400,C,0,0,0,0,0
DEC-18,33600,C,0,0,0,0,0
DEC-18,33800,C,0,0,0,0,0
DEC-18,34000,C,0,0,0,0,0
DEC-18,34200,C,0,0,0,0,0
DEC-18,34400,C,0,0,0,0,0
DEC-18,34600,C,0,0,0,0,0
DEC-18,34800,C,0,0,0,0,0
DEC-18,35000,C,0,0,0,0,0
DEC-18,35200,C,0,0,0,0,0
DEC-18,35400,C,0,0,0,0,0
DEC-18,35600,C,0,0,0,0,0
DEC-18,35800,C,0,0,0,0,0
DEC-18,36000,C,0,0,0,0,0
DEC-18,36200,C,0,0,0,0,0
DEC-18,36400,C,0,0,0,0,0
DEC-18,36600,C,0,0,0,0,0
DEC-18,36800,C,0,0,0,0,0
DEC-18,37000,C,0,0,0,0,0
DEC-18,37200,C,0,0,0,0,0
DEC-18,37400,C,0,0,0,0,0
DEC-18,37600,C,0,0,0,0,0
DEC-18,37800,C,0,0,0,0,0
DEC-18,38000,C,0,0,0,0,0
DEC-18,38200,C,0,0,0,0,0
DEC-18,38400,C,0,0,0,0,0
DEC-18,38600,C,0,0,0,0,0
DEC-18,38800,C,0,0,0,0,0
DEC-18,39000,C,0,0,0,0,0
DEC-18,39200,C,0,0,0,0,0
DEC-18,39400,C,0,0,0,0,0
DEC-18,39600,C,0,0,0,0,0
DEC-18,39800,C,0,0,0,0,0
DEC-18,40000,C,0,0,0,0,0

,,,,,"TOTAL CALL",,67

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
DEC-18,14400,P,0,0,0,0,0
DEC-18,15000,P,0,0,0,0,0
DEC-18,15800,P,0,0,0,0,0
DEC-18,16600,P,0,0,0,0,0
DEC-18,17400,P,0,0,0,0,0
DEC-18,18200,P,0,0,0,0,0
DEC-18,19000,P,0,0,0,0,0
DEC-18,19600,P,21,21,21,21,1
DEC-18,19700,P,0,0,0,0,0
DEC-18,19800,P,24,24,24,24,1
DEC-18,19900,P,0,0,0,0,0
DEC-18,20000,P,0,0,0,0,0
DEC-18,20200,P,0,0,0,0,0
DEC-18,20400,P,0,0,0,0,0
DEC-18,20600,P,0,0,0,0,0
DEC-18,20800,P,0,0,0,0,0
DEC-18,21000,P,0,0,0,0,0
DEC-18,21200,P,0,0,0,0,0
DEC-18,21400,P,0,0,0,0,0
DEC-18,21600,P,0,0,0,0,0
DEC-18,21800,P,0,0,0,0,0
DEC-18,22000,P,107,107,106,106,4
DEC-18,22200,P,121,121,121,121,1
DEC-18,22400,P,130,133,130,133,5
DEC-18,22600,P,152,152,152,152,1
DEC-18,22800,P,179,179,179,179,1
DEC-18,23000,P,196,202,196,202,6
DEC-18,23200,P,232,232,232,232,1
DEC-18,23400,P,266,266,266,266,1
DEC-18,23600,P,298,298,290,293,5
DEC-18,23800,P,330,341,330,334,3
DEC-18,24000,P,378,378,378,378,2
